network,scenario_family,parameter,max_risk,mean_risk,affected_nodes,top_node,top_3,outlet_risk,source,location,severity
N1,severity,0.25,0.25,0.07796666666666668,3,A,A|B|C,0.016800000000000037,A,,
N1,severity,0.5,0.5,0.15593333333333328,4,A,A|B|C,0.03359999999999996,A,,
N1,severity,0.75,0.75,0.2339,6,A,A|B|C,0.0504,A,,
N1,severity,1.0,1.0,0.3118666666666666,6,A,A|B|C,0.06719999999999993,A,,
N1,lc_stress,0.5,0.8,0.16964666666666664,2,A,A|B|C,0.0016800000000000148,,,
N1,lc_stress,0.75,0.8,0.2007533333333333,3,A,A|B|C,0.012757499999999977,,,
N1,lc_stress,1.0,0.8,0.24949333333333334,6,A,A|B|C,0.05375999999999992,,,
N1,lc_stress,1.25,0.8,0.3276041666666667,6,A,A|B|C,0.1640625,,,
N1,lc_stress,1.5,0.8,0.43533333333333335,6,A,A|B|C,0.32400000000000007,,,
N1,blockage_location,A,0.75,0.2339,6,A,A|B|C,0.0504,,A,0.75
N1,blockage_location,B,0.75,0.27225000000000005,5,B,B|C|D,0.126,,B,0.75
N1,blockage_location,C,0.75,0.2945,4,C,C|D|E,0.252,,C,0.75
N1,blockage_location,D,0.75,0.2825,3,D,D|E|F,0.41999999999999993,,D,0.75
N1,blockage_location,E,0.75,0.225,2,E,E|F|A,0.6000000000000001,,E,0.75
N1,intermediate_blockage,B:0.25,0.8,0.31120333333333333,6,A,A|B|C,0.08231999999999995,,B,0.25
N1,intermediate_blockage,B:0.5,0.8,0.37291333333333326,6,A,A|B|C,0.11088000000000009,,B,0.5
N1,intermediate_blockage,B:0.75,0.8300000000000001,0.43462333333333336,6,B,B|A|C,0.13944,,B,0.75
N1,intermediate_blockage,D:0.25,0.8,0.3346200000000001,6,A,A|D|B,0.18031999999999992,,D,0.25
N1,intermediate_blockage,D:0.5,0.8,0.4197466666666667,6,A,A|D|E,0.30688000000000004,,D,0.5
N1,intermediate_blockage,D:0.75,0.8,0.5048733333333334,6,A,A|D|E,0.43344000000000005,,D,0.75
